doctor_id,department,doctor_avg_consult_minutes,day_of_week,hour_of_day,queue_length_ahead,patient_type,wait_time_minutes
DOC1,Cardiology,15,Tuesday,14,4,normal,65.13
DOC2,General Medicine,10,Friday,15,3,normal,59.17
DOC3,Orthopedics,20,Saturday,9,7,normal,154.99
DOC4,Pediatrics,12,Friday,16,5,normal,92.78
DOC2,General Medicine,10,Monday,10,5,normal,111.02
DOC1,Cardiology,15,Monday,9,2,normal,75.03
DOC3,Orthopedics,20,Sunday,11,4,normal,102.3
DOC4,Pediatrics,12,Friday,14,4,normal,52.93
DOC6,General Medicine,10,Saturday,12,5,normal,33.48
DOC3,Orthopedics,20,Sunday,11,4,normal,92.66
DOC2,General Medicine,10,Saturday,19,4,normal,35.99
DOC4,Pediatrics,12,Thursday,12,2,normal,26.99
DOC1,Cardiology,15,Saturday,11,7,normal,121.51
DOC6,General Medicine,10,Sunday,11,2,normal,26.36
DOC1,Cardiology,15,Tuesday,19,5,normal,76.04
DOC6,General Medicine,10,Monday,15,1,normal,31.65
DOC2,General Medicine,10,Thursday,10,3,normal,58.72
DOC4,Pediatrics,12,Sunday,16,3,normal,43.34
DOC5,Dermatology,8,Monday,16,5,normal,81.59
DOC3,Orthopedics,20,Sunday,12,4,normal,54.91
DOC4,Pediatrics,12,Tuesday,15,1,normal,30.99
DOC3,Orthopedics,20,Sunday,16,2,normal,53.55
DOC6,General Medicine,10,Saturday,19,4,normal,30.81
DOC2,General Medicine,10,Sunday,9,1,normal,14.59
DOC2,General Medicine,10,Monday,13,4,normal,57.29
DOC6,General Medicine,10,Saturday,17,4,normal,48.42
DOC1,Cardiology,15,Tuesday,11,5,normal,125.91
DOC2,General Medicine,10,Tuesday,10,1,normal,28.59
DOC6,General Medicine,10,Tuesday,9,3,normal,53.06
DOC3,Orthopedics,20,Monday,14,6,normal,140.04
DOC6,General Medicine,10,Wednesday,9,2,normal,39.03
DOC3,Orthopedics,20,Thursday,9,6,normal,192.3
DOC4,Pediatrics,12,Wednesday,9,4,normal,84.44
DOC1,Cardiology,15,Monday,17,3,normal,104.36
DOC1,Cardiology,15,Friday,9,7,normal,166.22
DOC6,General Medicine,10,Monday,10,4,normal,93.46
DOC6,General Medicine,10,Sunday,13,2,normal,17.2
DOC5,Dermatology,8,Tuesday,12,3,normal,24.3
DOC2,General Medicine,10,Wednesday,13,6,normal,55.07
DOC1,Cardiology,15,Friday,18,4,normal,99.42
DOC3,Orthopedics,20,Sunday,12,1,emergency,4.66
DOC4,Pediatrics,12,Monday,16,2,normal,66.05
DOC1,Cardiology,15,Wednesday,16,3,emergency,5.34
DOC6,General Medicine,10,Sunday,17,2,normal,25.35
DOC4,Pediatrics,12,Saturday,15,6,normal,78.85
DOC6,General Medicine,10,Friday,11,3,normal,54.09
DOC5,Dermatology,8,Saturday,15,7,normal,61.81
DOC6,General Medicine,10,Friday,16,4,normal,64.46
DOC3,Orthopedics,20,Monday,10,5,normal,213.11
DOC3,Orthopedics,20,Friday,18,5,normal,158.72
DOC3,Orthopedics,20,Tuesday,16,10,normal,286.11
DOC6,General Medicine,10,Thursday,15,4,normal,65.69
DOC2,General Medicine,10,Thursday,10,2,normal,41.54
DOC6,General Medicine,10,Wednesday,9,3,normal,54.83
DOC2,General Medicine,10,Monday,10,5,emergency,3.66
DOC3,Orthopedics,20,Monday,14,3,normal,89.26
DOC4,Pediatrics,12,Friday,15,3,normal,60.18
DOC2,General Medicine,10,Tuesday,10,5,normal,84.73
DOC6,General Medicine,10,Wednesday,19,4,normal,43.31
DOC4,Pediatrics,12,Saturday,11,5,emergency,2.5
DOC4,Pediatrics,12,Wednesday,16,2,normal,51.13
DOC3,Orthopedics,20,Saturday,10,3,normal,82.15
DOC1,Cardiology,15,Saturday,15,3,normal,56.07
DOC6,General Medicine,10,Saturday,13,4,normal,26.64
DOC6,General Medicine,10,Wednesday,17,3,normal,44.73
DOC1,Cardiology,15,Thursday,17,1,normal,37.17
DOC2,General Medicine,10,Thursday,9,2,emergency,2.71
DOC4,Pediatrics,12,Tuesday,14,5,normal,58.23
DOC1,Cardiology,15,Sunday,17,6,normal,98.19
DOC4,Pediatrics,12,Saturday,18,2,normal,37.82
DOC4,Pediatrics,12,Sunday,17,4,normal,53.22
DOC3,Orthopedics,20,Thursday,10,1,normal,54.53
DOC4,Pediatrics,12,Tuesday,11,2,normal,59.68
DOC4,Pediatrics,12,Monday,13,6,normal,82.67
DOC5,Dermatology,8,Tuesday,12,6,normal,50.81
DOC5,Dermatology,8,Sunday,9,3,normal,31.28
DOC6,General Medicine,10,Saturday,16,4,normal,49.02
DOC3,Orthopedics,20,Friday,13,4,normal,73.71
DOC6,General Medicine,10,Monday,9,5,normal,109.96
DOC5,Dermatology,8,Thursday,13,6,normal,43.84
DOC2,General Medicine,10,Friday,9,3,normal,54.65
DOC6,General Medicine,10,Thursday,18,3,normal,52.2
DOC3,Orthopedics,20,Tuesday,15,2,normal,79.2
DOC2,General Medicine,10,Tuesday,15,3,normal,51.69
DOC2,General Medicine,10,Monday,18,2,normal,50.62
DOC6,General Medicine,10,Thursday,9,6,normal,100.41
DOC1,Cardiology,15,Friday,17,2,normal,57.31
DOC6,General Medicine,10,Saturday,12,6,normal,35.37
DOC5,Dermatology,8,Wednesday,17,3,normal,36.67
DOC6,General Medicine,10,Saturday,18,7,normal,67.91
DOC4,Pediatrics,12,Sunday,19,4,normal,38.31
DOC5,Dermatology,8,Thursday,17,4,normal,53.39
DOC6,General Medicine,10,Wednesday,11,3,normal,63.04
DOC2,General Medicine,10,Monday,19,3,normal,45.1
DOC4,Pediatrics,12,Thursday,12,3,normal,39.98
DOC5,Dermatology,8,Sunday,14,5,normal,26.05
DOC2,General Medicine,10,Wednesday,13,6,normal,58.25
DOC5,Dermatology,8,Sunday,9,3,emergency,7.45
DOC3,Orthopedics,20,Tuesday,17,4,normal,134.87
DOC3,Orthopedics,20,Tuesday,14,2,normal,49.17
DOC6,General Medicine,10,Tuesday,15,5,normal,81.61
DOC4,Pediatrics,12,Friday,9,4,normal,80.71
DOC2,General Medicine,10,Wednesday,14,6,normal,58.2
DOC4,Pediatrics,12,Friday,17,4,normal,77.94
DOC6,General Medicine,10,Friday,15,6,normal,92.15
DOC2,General Medicine,10,Sunday,9,3,normal,37.15
DOC1,Cardiology,15,Friday,10,5,normal,122.48
DOC3,Orthopedics,20,Saturday,19,5,normal,76.72
DOC6,General Medicine,10,Saturday,11,3,normal,45.21
DOC2,General Medicine,10,Wednesday,10,7,normal,110.45
DOC3,Orthopedics,20,Monday,14,2,emergency,6.86
DOC1,Cardiology,15,Sunday,12,2,normal,27.38
DOC5,Dermatology,8,Wednesday,10,2,normal,32.22
DOC2,General Medicine,10,Monday,10,5,normal,107.07
DOC4,Pediatrics,12,Monday,12,3,normal,52.48
DOC4,Pediatrics,12,Thursday,14,4,normal,51.62
DOC5,Dermatology,8,Friday,14,3,normal,24.65
DOC5,Dermatology,8,Tuesday,15,2,emergency,3.01
DOC4,Pediatrics,12,Wednesday,13,3,normal,38.31
DOC4,Pediatrics,12,Tuesday,16,6,normal,108.61
DOC2,General Medicine,10,Tuesday,16,6,normal,89.86
DOC3,Orthopedics,20,Friday,9,2,normal,87.28
DOC3,Orthopedics,20,Monday,13,8,normal,188.93
DOC6,General Medicine,10,Tuesday,14,4,normal,37.42
DOC1,Cardiology,15,Monday,17,3,normal,98.76
DOC2,General Medicine,10,Saturday,13,4,normal,25.51
DOC3,Orthopedics,20,Saturday,18,3,normal,73.41
DOC6,General Medicine,10,Monday,16,6,normal,114.42
DOC3,Orthopedics,20,Saturday,14,3,normal,45.5
DOC4,Pediatrics,12,Wednesday,10,6,normal,123.03
DOC4,Pediatrics,12,Sunday,17,3,normal,45.55
DOC5,Dermatology,8,Wednesday,9,4,normal,57.3
DOC2,General Medicine,10,Monday,17,1,normal,37.36
DOC6,General Medicine,10,Thursday,9,0,normal,16.32
DOC3,Orthopedics,20,Sunday,15,3,normal,76.17
DOC2,General Medicine,10,Saturday,11,2,normal,28.15
DOC1,Cardiology,15,Sunday,15,3,normal,51.06
DOC4,Pediatrics,12,Saturday,16,5,emergency,7.23
DOC6,General Medicine,10,Friday,12,3,normal,30.05
DOC2,General Medicine,10,Sunday,12,4,normal,27.81
DOC3,Orthopedics,20,Sunday,14,7,normal,96.41
DOC6,General Medicine,10,Saturday,14,4,normal,29.54
DOC2,General Medicine,10,Friday,12,1,normal,14.4
DOC2,General Medicine,10,Wednesday,9,1,emergency,4.07
DOC1,Cardiology,15,Sunday,12,3,normal,32.56
DOC4,Pediatrics,12,Sunday,11,6,normal,85.48
DOC5,Dermatology,8,Thursday,10,3,normal,50.9
DOC4,Pediatrics,12,Sunday,15,6,normal,74.77
DOC3,Orthopedics,20,Monday,13,3,normal,80.01
DOC2,General Medicine,10,Monday,15,5,normal,107.92
DOC6,General Medicine,10,Saturday,10,6,normal,71.42
DOC6,General Medicine,10,Thursday,16,5,normal,78.39
DOC4,Pediatrics,12,Saturday,12,5,normal,43.52
DOC2,General Medicine,10,Thursday,18,3,normal,55.79
DOC4,Pediatrics,12,Sunday,17,2,normal,31.37
DOC4,Pediatrics,12,Tuesday,16,7,normal,127.75
DOC3,Orthopedics,20,Friday,11,4,normal,141.97
DOC4,Pediatrics,12,Wednesday,13,4,normal,47.76
DOC5,Dermatology,8,Friday,10,3,emergency,5.9
DOC1,Cardiology,15,Wednesday,9,2,normal,64.45
DOC6,General Medicine,10,Wednesday,17,6,normal,90.29
DOC5,Dermatology,8,Thursday,16,4,normal,48.57
DOC6,General Medicine,10,Monday,13,3,normal,47.64
DOC2,General Medicine,10,Tuesday,11,2,normal,43.76
DOC3,Orthopedics,20,Thursday,18,3,normal,102.58
DOC6,General Medicine,10,Thursday,12,8,normal,75.32
DOC6,General Medicine,10,Wednesday,11,3,normal,55.64
DOC2,General Medicine,10,Saturday,15,8,normal,88.5
DOC4,Pediatrics,12,Saturday,16,3,emergency,6.06
DOC4,Pediatrics,12,Monday,19,1,normal,26.11
DOC4,Pediatrics,12,Tuesday,17,6,normal,109.65
DOC3,Orthopedics,20,Saturday,10,4,normal,96.46
DOC3,Orthopedics,20,Monday,10,5,normal,218.48
DOC1,Cardiology,15,Wednesday,18,3,normal,82.2
DOC4,Pediatrics,12,Thursday,12,7,normal,80.13
DOC1,Cardiology,15,Tuesday,9,3,normal,79.76
DOC3,Orthopedics,20,Saturday,11,5,normal,109.82
DOC4,Pediatrics,12,Thursday,9,6,normal,114.94
DOC3,Orthopedics,20,Wednesday,15,1,normal,52.81
DOC6,General Medicine,10,Wednesday,19,2,normal,29.49
DOC5,Dermatology,8,Friday,9,3,normal,44.26
DOC6,General Medicine,10,Friday,15,2,normal,40.76
DOC5,Dermatology,8,Wednesday,16,2,normal,34.46
DOC2,General Medicine,10,Sunday,17,5,normal,55.95
DOC5,Dermatology,8,Tuesday,14,6,normal,41.58
DOC5,Dermatology,8,Friday,9,3,normal,43.91
DOC5,Dermatology,8,Sunday,17,8,normal,68.77
DOC2,General Medicine,10,Wednesday,17,1,normal,22.2
DOC4,Pediatrics,12,Friday,16,5,normal,93.73
DOC3,Orthopedics,20,Saturday,19,4,normal,68.67
DOC5,Dermatology,8,Tuesday,13,3,normal,24.21
DOC6,General Medicine,10,Saturday,19,2,normal,13.49
DOC5,Dermatology,8,Tuesday,13,8,normal,56.54
DOC6,General Medicine,10,Thursday,13,5,normal,45.64
DOC1,Cardiology,15,Friday,13,4,normal,58.14
DOC2,General Medicine,10,Wednesday,12,6,normal,55.91
DOC4,Pediatrics,12,Saturday,11,3,normal,45.34
DOC6,General Medicine,10,Friday,14,5,normal,49.13
DOC4,Pediatrics,12,Thursday,14,3,normal,38.31
DOC3,Orthopedics,20,Wednesday,17,6,normal,182.49
DOC4,Pediatrics,12,Friday,9,3,normal,67.18
DOC5,Dermatology,8,Friday,15,1,normal,23.66
DOC2,General Medicine,10,Saturday,13,3,normal,25.7
DOC3,Orthopedics,20,Wednesday,10,3,normal,113.55
DOC5,Dermatology,8,Friday,16,6,normal,74.95
DOC6,General Medicine,10,Thursday,14,5,normal,49.17
DOC1,Cardiology,15,Sunday,10,3,normal,61.18
DOC4,Pediatrics,12,Tuesday,15,2,normal,46.98
DOC1,Cardiology,15,Monday,17,1,normal,49.67
DOC3,Orthopedics,20,Monday,17,4,normal,169.63
DOC6,General Medicine,10,Tuesday,12,3,normal,30.53
DOC2,General Medicine,10,Thursday,15,5,normal,79.68
DOC2,General Medicine,10,Saturday,14,5,normal,31.75
DOC1,Cardiology,15,Monday,19,7,normal,141.2
DOC2,General Medicine,10,Friday,9,5,normal,82.25
DOC4,Pediatrics,12,Wednesday,9,6,normal,120.55
DOC3,Orthopedics,20,Sunday,10,2,normal,57.87
DOC5,Dermatology,8,Tuesday,13,6,normal,40.14
DOC4,Pediatrics,12,Tuesday,11,4,normal,86.45
DOC4,Pediatrics,12,Wednesday,11,5,normal,101.33
DOC3,Orthopedics,20,Monday,11,3,normal,145.85
DOC4,Pediatrics,12,Tuesday,18,6,emergency,6.35
DOC2,General Medicine,10,Friday,14,4,normal,41.78
DOC4,Pediatrics,12,Wednesday,13,3,normal,40.41
DOC5,Dermatology,8,Saturday,19,2,normal,17.15
DOC4,Pediatrics,12,Friday,15,7,normal,126.79
DOC2,General Medicine,10,Monday,18,6,normal,115.7
DOC1,Cardiology,15,Monday,12,3,normal,63.75
DOC4,Pediatrics,12,Thursday,17,4,normal,78.6
DOC5,Dermatology,8,Saturday,13,6,normal,34.22
DOC4,Pediatrics,12,Monday,9,10,normal,240.11
DOC1,Cardiology,15,Tuesday,11,2,emergency,6.07
DOC5,Dermatology,8,Tuesday,9,7,normal,91.88
DOC1,Cardiology,15,Wednesday,12,3,emergency,6.24
DOC2,General Medicine,10,Sunday,19,2,normal,18.28
DOC3,Orthopedics,20,Saturday,13,3,normal,44.78
DOC1,Cardiology,15,Friday,15,7,normal,157.85
DOC4,Pediatrics,12,Friday,19,5,normal,62.39
DOC1,Cardiology,15,Monday,14,6,normal,111.44
DOC3,Orthopedics,20,Friday,15,7,normal,206.35
DOC6,General Medicine,10,Thursday,17,4,normal,61.92
DOC5,Dermatology,8,Thursday,10,5,normal,66.7
DOC5,Dermatology,8,Saturday,17,0,normal,9.28
DOC6,General Medicine,10,Saturday,13,3,normal,20.62
DOC3,Orthopedics,20,Sunday,12,6,normal,75.5
DOC6,General Medicine,10,Wednesday,14,4,normal,44.49
DOC3,Orthopedics,20,Tuesday,17,5,normal,154.49
DOC5,Dermatology,8,Saturday,9,7,normal,65.98
DOC6,General Medicine,10,Monday,9,1,normal,39.17
DOC6,General Medicine,10,Saturday,12,8,normal,48.26
DOC3,Orthopedics,20,Wednesday,12,4,normal,84.33
DOC5,Dermatology,8,Wednesday,14,3,normal,24.89
DOC6,General Medicine,10,Wednesday,11,3,normal,56.81
DOC2,General Medicine,10,Saturday,11,2,normal,25.36
DOC4,Pediatrics,12,Monday,9,1,normal,45.73
DOC4,Pediatrics,12,Monday,14,3,normal,48.31
DOC3,Orthopedics,20,Saturday,13,1,normal,17.28
DOC1,Cardiology,15,Friday,12,5,normal,70.48
DOC1,Cardiology,15,Tuesday,18,3,normal,72.99
DOC2,General Medicine,10,Thursday,17,2,normal,44.12
DOC2,General Medicine,10,Thursday,16,4,normal,65.36
DOC3,Orthopedics,20,Monday,14,3,normal,80.49
DOC3,Orthopedics,20,Tuesday,17,6,normal,186.37
DOC2,General Medicine,10,Friday,19,6,emergency,1.94
DOC4,Pediatrics,12,Wednesday,9,4,normal,85.54
DOC2,General Medicine,10,Tuesday,19,4,normal,50.03
DOC2,General Medicine,10,Wednesday,16,4,normal,63.52
DOC5,Dermatology,8,Sunday,12,0,normal,2.38
DOC2,General Medicine,10,Wednesday,10,6,normal,95.39
DOC3,Orthopedics,20,Sunday,16,5,normal,109.66
DOC1,Cardiology,15,Sunday,9,5,normal,90.5
DOC3,Orthopedics,20,Thursday,14,4,normal,78.56
DOC1,Cardiology,15,Friday,12,3,normal,42.68
DOC1,Cardiology,15,Sunday,11,3,normal,61.17
DOC5,Dermatology,8,Sunday,12,2,normal,14.46
DOC3,Orthopedics,20,Tuesday,15,2,normal,76.52
DOC5,Dermatology,8,Thursday,18,3,normal,43.31
DOC6,General Medicine,10,Wednesday,11,6,emergency,4.27
DOC5,Dermatology,8,Saturday,12,2,emergency,1.33
DOC2,General Medicine,10,Friday,14,4,normal,43.36
DOC2,General Medicine,10,Monday,18,2,normal,56.2
DOC3,Orthopedics,20,Saturday,16,6,normal,119.49
DOC6,General Medicine,10,Monday,10,2,normal,54.61
DOC5,Dermatology,8,Friday,15,3,normal,41.71
DOC5,Dermatology,8,Monday,9,7,normal,112.13
DOC1,Cardiology,15,Monday,17,3,normal,105.4
DOC1,Cardiology,15,Friday,11,0,normal,21.13
DOC1,Cardiology,15,Tuesday,11,2,normal,64.72
DOC4,Pediatrics,12,Thursday,17,6,normal,106.95
DOC3,Orthopedics,20,Saturday,16,2,normal,58.47
DOC3,Orthopedics,20,Saturday,19,4,normal,65.9
DOC1,Cardiology,15,Thursday,16,6,normal,134.1
DOC4,Pediatrics,12,Monday,14,8,normal,116.84
DOC5,Dermatology,8,Wednesday,14,6,normal,51.03
DOC2,General Medicine,10,Thursday,11,7,normal,116.26
DOC5,Dermatology,8,Thursday,13,4,normal,34.14
DOC6,General Medicine,10,Thursday,18,3,normal,54.28
DOC6,General Medicine,10,Friday,13,7,normal,69.69
DOC2,General Medicine,10,Tuesday,16,2,normal,36.83
DOC4,Pediatrics,12,Thursday,19,3,normal,37.93
DOC5,Dermatology,8,Monday,11,1,normal,31.04
DOC3,Orthopedics,20,Saturday,13,1,normal,26.4
DOC3,Orthopedics,20,Tuesday,11,4,normal,141.89
DOC3,Orthopedics,20,Wednesday,10,6,normal,197.88
DOC1,Cardiology,15,Saturday,19,6,emergency,6.77
DOC3,Orthopedics,20,Sunday,17,3,normal,74.49
DOC6,General Medicine,10,Tuesday,9,2,normal,39.36
DOC3,Orthopedics,20,Wednesday,16,5,normal,157.16
DOC2,General Medicine,10,Wednesday,16,3,normal,51.39
DOC1,Cardiology,15,Thursday,12,6,normal,82.19
DOC1,Cardiology,15,Sunday,15,5,normal,79.99
DOC1,Cardiology,15,Tuesday,11,4,emergency,7.46
DOC5,Dermatology,8,Saturday,17,5,normal,36.07
DOC4,Pediatrics,12,Tuesday,15,4,normal,80.55
DOC6,General Medicine,10,Friday,14,3,normal,36.5
DOC1,Cardiology,15,Monday,15,5,normal,152.75
DOC1,Cardiology,15,Sunday,18,6,normal,95.61
DOC1,Cardiology,15,Sunday,14,5,normal,49.67
DOC1,Cardiology,15,Monday,13,8,normal,139.5
DOC4,Pediatrics,12,Friday,11,3,normal,67.4
DOC1,Cardiology,15,Saturday,11,7,normal,118.94
DOC5,Dermatology,8,Tuesday,12,2,normal,20.8
DOC5,Dermatology,8,Monday,14,3,normal,36.97
DOC3,Orthopedics,20,Friday,15,2,normal,71.29
DOC1,Cardiology,15,Friday,15,7,emergency,1.0
DOC5,Dermatology,8,Sunday,9,5,emergency,1.0
DOC6,General Medicine,10,Sunday,9,5,normal,63.97
DOC3,Orthopedics,20,Saturday,9,2,normal,55.33
DOC2,General Medicine,10,Friday,13,3,emergency,6.21
DOC3,Orthopedics,20,Saturday,16,3,normal,74.32
DOC4,Pediatrics,12,Wednesday,9,4,normal,84.59
DOC6,General Medicine,10,Tuesday,9,2,normal,44.63
DOC6,General Medicine,10,Wednesday,18,2,normal,43.42
DOC2,General Medicine,10,Tuesday,16,5,normal,74.95
DOC6,General Medicine,10,Friday,17,2,emergency,6.88
DOC1,Cardiology,15,Tuesday,12,5,emergency,6.27
DOC2,General Medicine,10,Sunday,10,5,normal,55.45
DOC2,General Medicine,10,Saturday,11,3,normal,33.74
DOC2,General Medicine,10,Tuesday,12,5,normal,48.81
DOC4,Pediatrics,12,Wednesday,10,4,normal,86.44
DOC2,General Medicine,10,Friday,13,3,emergency,3.57
DOC2,General Medicine,10,Monday,16,2,normal,51.47
DOC5,Dermatology,8,Friday,14,2,normal,15.47
DOC2,General Medicine,10,Sunday,12,1,normal,11.29
DOC1,Cardiology,15,Sunday,18,5,normal,82.49
DOC1,Cardiology,15,Saturday,18,5,normal,86.38
DOC5,Dermatology,8,Monday,13,1,normal,17.95
DOC2,General Medicine,10,Monday,15,1,normal,30.36
DOC2,General Medicine,10,Tuesday,12,3,normal,31.06
DOC3,Orthopedics,20,Sunday,19,3,normal,48.49
DOC3,Orthopedics,20,Tuesday,9,5,normal,162.43
DOC3,Orthopedics,20,Thursday,12,4,normal,81.06
DOC4,Pediatrics,12,Wednesday,15,7,normal,124.03
DOC5,Dermatology,8,Sunday,13,0,normal,3.29
DOC5,Dermatology,8,Sunday,14,4,normal,21.6
DOC3,Orthopedics,20,Sunday,11,5,normal,116.88
DOC1,Cardiology,15,Thursday,14,3,normal,51.86
DOC6,General Medicine,10,Monday,10,3,normal,74.15
DOC6,General Medicine,10,Monday,10,4,normal,85.39
DOC1,Cardiology,15,Monday,11,3,normal,110.67
DOC4,Pediatrics,12,Monday,18,3,normal,80.05
DOC3,Orthopedics,20,Tuesday,14,4,normal,87.29
DOC6,General Medicine,10,Sunday,16,2,normal,31.2
DOC1,Cardiology,15,Thursday,13,1,normal,24.43
DOC5,Dermatology,8,Saturday,15,2,normal,20.33
DOC5,Dermatology,8,Friday,11,4,normal,56.3
DOC1,Cardiology,15,Saturday,12,2,normal,27.8
DOC6,General Medicine,10,Friday,11,5,normal,82.59
DOC6,General Medicine,10,Thursday,17,2,emergency,2.14
DOC6,General Medicine,10,Wednesday,13,1,normal,15.84
DOC4,Pediatrics,12,Wednesday,18,7,normal,123.4
DOC4,Pediatrics,12,Monday,15,5,normal,123.67
DOC2,General Medicine,10,Tuesday,16,2,normal,36.83
DOC3,Orthopedics,20,Friday,11,6,normal,193.79
DOC4,Pediatrics,12,Tuesday,16,5,normal,95.76
DOC2,General Medicine,10,Wednesday,19,5,emergency,4.63
DOC4,Pediatrics,12,Sunday,10,3,normal,46.07
DOC6,General Medicine,10,Tuesday,13,3,normal,26.99
DOC2,General Medicine,10,Thursday,14,3,normal,35.18
DOC4,Pediatrics,12,Monday,9,5,normal,128.63
DOC6,General Medicine,10,Saturday,9,3,normal,38.07
DOC1,Cardiology,15,Saturday,10,4,normal,70.04
DOC6,General Medicine,10,Sunday,16,8,normal,82.43
DOC1,Cardiology,15,Thursday,15,4,emergency,4.82
DOC2,General Medicine,10,Friday,9,4,normal,72.93
DOC3,Orthopedics,20,Friday,19,2,normal,54.35
DOC5,Dermatology,8,Thursday,17,4,normal,51.49
DOC2,General Medicine,10,Tuesday,11,3,emergency,5.39
DOC6,General Medicine,10,Wednesday,18,4,normal,62.29
DOC1,Cardiology,15,Tuesday,9,4,normal,102.9
DOC3,Orthopedics,20,Friday,13,1,emergency,7.32
DOC1,Cardiology,15,Friday,14,6,normal,82.04
DOC3,Orthopedics,20,Sunday,17,2,normal,57.73
DOC6,General Medicine,10,Wednesday,9,1,normal,27.59
DOC1,Cardiology,15,Wednesday,14,4,normal,63.18
DOC2,General Medicine,10,Sunday,14,2,normal,13.81
DOC3,Orthopedics,20,Thursday,9,2,normal,84.19
DOC3,Orthopedics,20,Saturday,18,1,normal,33.83
